POA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA4757,0,0,0,0,0,3,9,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,16,5,0,0,44,4,5,18,25,76,71,45,18,0,264
POA4798,0,0,0,0,3,8,23,27,3,61,0,0,0,0,0,0,0,0,0,0,0,0,5,6,10,9,12,14,3,61,15,13,44,80,131,77,96,55,11,525
POA4799,0,0,0,0,0,12,27,9,9,61,0,0,0,0,0,0,0,0,0,0,10,3,6,16,29,10,25,11,0,117,33,17,62,129,185,169,164,59,4,825
POA4800,0,0,7,16,36,63,147,118,51,442,0,0,0,0,3,5,6,0,0,16,50,32,94,128,137,178,121,81,49,874,244,360,926,1215,1359,1495,967,445,166,7171
POA4801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,14,4,59,125,30,24,15,0,0,0,256
POA4802,3,4,7,11,18,21,37,22,7,133,3,0,3,0,4,0,4,0,0,15,65,116,334,229,193,159,118,28,9,1242,246,647,1829,1578,1354,1171,765,195,36,7822
POA4803,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,3,23,150,269,100,63,43,19,4,0,659,51,399,679,276,160,104,35,5,0,1720
POA4804,0,0,3,3,6,27,40,50,19,148,0,0,0,0,0,0,0,3,0,7,7,15,35,28,46,35,40,21,8,219,38,79,206,211,266,267,190,100,32,1397
POA4805,3,0,13,32,54,91,226,147,65,647,0,5,11,7,3,3,11,6,0,52,63,98,198,152,188,193,182,108,51,1248,290,596,1448,1199,1460,1569,1225,559,210,8553
POA4806,0,0,6,10,13,33,129,103,57,349,0,0,0,0,0,0,4,4,3,14,11,22,14,34,34,48,83,65,47,366,137,183,293,415,530,572,521,282,129,3059
POA4807,0,3,9,20,49,80,263,278,150,847,0,0,3,3,11,5,8,13,7,50,41,47,95,96,141,141,160,111,63,891,302,625,1175,1273,1480,1561,1224,762,313,8720
POA4808,0,0,0,0,0,6,13,18,7,57,0,0,0,0,0,0,0,0,0,0,4,4,13,10,8,4,11,0,0,62,36,46,109,124,172,169,150,57,22,883
POA4809,0,0,0,7,0,16,37,19,4,80,0,0,0,3,0,0,0,0,0,6,5,0,9,6,8,16,10,7,3,75,29,46,98,114,157,182,124,49,3,801
POA4810,4,8,19,44,61,90,167,158,122,679,0,3,3,7,9,10,3,9,3,50,94,229,463,361,403,303,263,149,89,2353,551,1839,3606,2930,3333,2838,1807,833,450,18189
POA4811,3,7,7,23,29,70,149,146,42,475,0,0,3,4,5,3,5,0,3,29,95,251,454,342,259,160,107,74,17,1762,512,1217,2074,1911,1800,1372,903,455,105,10359
POA4812,11,8,21,30,59,114,238,292,152,923,0,4,8,15,11,14,9,8,4,78,60,95,196,161,210,186,171,187,141,1400,602,1272,2623,2432,2589,2197,1544,1043,499,14805
POA4814,14,12,53,60,95,169,473,424,203,1502,4,13,31,41,41,30,23,18,9,214,299,611,595,412,382,327,291,212,70,3200,2597,5219,6557,5830,5534,4535,3189,1692,600,35745
POA4815,15,15,27,37,83,127,304,191,62,860,0,0,6,4,8,4,9,3,3,45,112,141,231,221,220,205,181,113,29,1454,822,1622,2847,2587,2705,2119,1570,750,215,15241
POA4816,13,14,21,33,77,144,203,85,22,612,0,0,4,4,4,9,0,7,0,30,34,43,60,84,129,110,107,50,10,632,353,471,938,1119,1352,1434,1098,342,52,7157
POA4817,13,9,30,35,68,127,302,220,94,905,0,3,12,16,16,11,7,11,6,80,117,139,266,256,276,238,206,124,91,1711,1202,2177,4182,4174,4110,3394,2103,825,299,22460
POA4818,6,9,40,45,62,123,235,128,32,685,0,3,3,5,4,5,12,9,3,46,113,156,369,289,287,243,157,58,9,1680,876,2137,5215,4121,3280,2570,1529,444,79,20243
POA4819,0,0,0,3,0,10,17,15,8,53,0,0,0,0,0,0,0,0,5,8,7,16,27,29,41,78,52,15,8,278,38,69,195,236,344,565,390,148,33,2035
POA4820,4,3,14,26,66,116,272,213,77,785,0,3,0,0,12,11,6,7,6,37,57,64,131,168,167,152,150,122,35,1046,371,514,1075,1290,1386,1382,1128,618,196,7956
POA4821,0,3,5,3,11,19,55,25,11,127,0,0,0,0,0,0,5,4,0,8,4,18,21,8,18,15,22,11,3,124,38,94,171,132,182,182,178,67,24,1056
POA4822,0,0,0,7,9,11,21,16,11,71,0,0,0,0,0,0,0,0,0,0,4,9,14,7,15,7,11,3,0,70,32,63,140,81,110,107,63,36,8,633
POA4823,0,0,3,3,3,13,13,4,0,41,0,0,0,0,0,0,0,0,0,5,4,3,13,16,13,8,10,4,0,67,17,59,154,144,150,143,68,25,9,775
POA4824,0,4,5,8,9,29,56,24,3,146,0,0,0,0,3,0,7,0,0,16,20,23,79,63,52,67,38,22,8,374,87,175,507,379,380,362,193,58,20,2161
POA4825,30,36,56,51,99,122,207,112,31,742,0,3,14,14,21,19,32,11,5,100,140,178,486,307,385,255,133,53,18,1949,656,1468,3652,2661,2586,1735,908,331,84,14073
POA4828,0,0,4,0,0,3,8,3,0,15,0,0,0,0,0,3,0,0,0,3,0,8,8,7,3,4,5,0,0,34,14,18,21,27,25,33,17,4,0,160
POA4829,0,0,0,9,9,8,12,0,0,41,0,0,0,0,0,0,0,0,0,0,11,9,17,10,14,17,6,0,0,83,19,34,80,62,60,79,27,9,0,379
POA4830,6,12,16,19,24,25,18,9,0,127,0,0,3,0,0,0,0,0,0,8,12,16,17,22,12,23,5,3,0,110,93,153,264,223,148,131,49,10,5,1076
POA4849,0,0,0,3,3,15,47,24,15,108,0,0,0,0,0,3,0,0,0,3,3,5,15,13,26,23,31,29,12,157,28,48,104,115,189,271,256,135,58,1204
POA4850,0,5,4,15,43,98,304,377,219,1065,0,0,6,3,3,7,13,6,9,54,39,43,72,84,122,164,175,148,81,937,283,457,838,1054,1528,1745,1516,997,415,8841
POA4852,0,0,3,3,4,12,38,13,10,79,0,0,0,0,0,0,0,3,0,6,19,14,38,73,73,94,87,31,10,445,80,152,331,470,546,667,499,169,43,2954
