POA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA4699,3,0,11,45,85,44,54,61,37,339
POA4700,281,126,581,3037,3572,1632,1221,3104,1741,14311
POA4701,278,258,810,7010,9125,4311,3348,6979,3221,33985
POA4702,102,40,237,4017,5660,2820,2739,3980,3070,22285
POA4703,233,101,500,3487,4869,2487,2014,3468,1988,18308
POA4704,0,0,0,24,30,14,14,23,18,113
POA4705,0,0,0,55,57,27,25,61,53,286
POA4706,0,0,0,8,17,8,13,30,15,83
POA4707,0,0,3,42,51,30,32,54,16,223
POA4709,0,0,0,146,198,87,105,98,140,767
POA4710,26,93,150,605,968,513,543,691,525,3838
POA4711,3,0,7,314,451,187,181,241,128,1494
POA4712,0,3,4,33,33,24,29,61,33,220
POA4713,0,0,0,265,103,29,30,148,69,637
POA4714,38,13,71,295,541,309,348,670,330,2485
POA4715,53,19,106,1179,1384,675,596,1042,581,5449
POA4716,3,3,11,133,190,121,92,86,70,692
POA4717,0,0,4,752,936,374,365,588,512,3535
POA4718,3,4,13,324,423,215,212,354,276,1801
POA4719,3,4,13,147,225,72,97,172,105,818
POA4720,25,13,64,2288,2855,1224,1119,1582,1537,10596
POA4721,23,7,54,518,687,333,363,496,439,2825
POA4722,13,7,34,302,307,162,171,271,217,1431
POA4723,4,3,4,197,252,104,134,202,168,1058
POA4724,3,0,8,90,126,46,66,104,42,472
POA4725,13,13,36,241,315,142,139,253,140,1231
POA4726,0,0,3,57,66,32,48,76,33,309
POA4727,0,3,6,43,50,31,27,35,21,202
POA4728,0,3,3,16,26,20,26,35,17,150
POA4730,36,8,69,521,715,290,228,551,324,2625
POA4731,0,0,0,37,43,28,20,31,22,180
POA4732,0,0,0,22,26,13,21,25,8,115
POA4733,3,0,3,18,36,20,21,36,21,153
POA4735,13,9,28,154,211,65,73,198,98,810
POA4736,0,0,3,22,17,11,4,20,9,89
POA4737,57,21,113,1137,1558,798,801,1294,903,6490
POA4738,3,0,9,151,212,103,164,188,141,962
POA4739,0,0,5,46,62,53,42,55,30,290
POA4740,685,192,1335,13288,17225,7722,6457,12906,6370,63968
POA4741,18,25,58,1003,1368,753,771,984,937,5813
POA4742,0,0,0,170,167,90,81,195,235,937
POA4743,0,0,0,103,123,43,48,70,79,467
POA4744,4,4,8,1327,1686,618,661,984,950,6237
POA4745,0,0,4,385,482,186,231,365,557,2198
POA4746,0,0,0,301,368,150,151,194,226,1393
POA4750,11,3,15,874,1241,550,480,757,357,4265
POA4751,12,13,38,741,954,475,390,593,404,3557
POA4753,7,5,16,679,867,375,419,455,312,3115
POA4754,32,0,45,341,426,225,237,304,218,1759
POA4756,0,0,3,58,111,71,80,114,55,494
POA4757,0,0,0,36,71,41,59,21,43,274
