POA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
POA4310,13,15,30,8,11,20,12,30,38,5,50,55,43,177,226,54,53,109,179,53,234,145,53,195,159,42,198,161,21,184,108,25,136,108,9,119,163,6,165,87,0,87,63,0,67,32,4,41,65,0,67,143,3,149,28,38,69,1577,595,2173
POA4311,15,28,47,19,9,32,21,66,85,18,70,94,91,214,300,116,65,186,296,71,363,240,96,335,253,87,345,255,50,301,198,33,232,169,30,191,297,18,314,147,3,150,74,0,79,47,0,45,55,0,58,267,17,283,54,41,91,2633,897,3530
POA4312,9,17,29,8,5,15,0,18,22,6,46,49,46,88,127,26,38,58,124,21,142,74,35,107,80,29,113,65,10,70,38,8,45,45,4,53,52,3,55,24,0,26,12,0,12,5,4,10,17,0,17,79,5,89,8,17,27,720,342,1071
POA4313,12,9,17,10,7,13,10,26,35,8,28,37,36,81,119,23,34,59,92,19,109,49,22,70,70,18,88,54,5,66,37,10,48,30,4,35,54,0,57,19,0,20,17,0,15,8,5,12,8,0,8,63,3,68,11,12,25,614,280,902
POA4340,13,13,26,5,4,11,10,27,34,14,45,56,52,99,149,61,48,106,126,38,168,101,38,143,114,29,146,133,24,164,96,24,121,95,11,109,185,13,196,105,3,103,55,0,55,31,3,35,35,3,43,141,9,151,18,24,44,1399,463,1861
POA4341,34,36,66,19,15,33,40,66,103,26,107,139,122,302,422,132,117,249,387,73,453,318,111,427,357,99,458,358,68,427,269,47,316,245,28,272,428,28,458,283,6,294,134,4,140,66,3,70,106,0,107,367,33,403,82,75,158,3766,1224,4991
POA4342,3,3,4,5,7,8,8,21,26,4,22,26,22,45,68,20,31,48,66,29,97,62,34,95,64,18,79,60,15,76,48,9,51,46,7,53,73,3,74,32,0,32,19,0,23,7,0,7,19,0,19,62,16,81,15,12,27,644,259,898
POA4343,16,38,59,10,19,27,19,49,67,20,83,106,101,245,348,76,110,189,283,80,357,186,110,292,273,96,368,243,54,296,196,34,232,164,20,186,266,30,297,205,6,213,79,11,90,49,10,63,93,19,109,261,53,317,53,62,110,2608,1124,3726
POA4344,3,4,9,3,0,3,0,9,15,7,16,23,23,40,61,25,26,44,58,29,85,47,24,73,61,22,85,68,7,79,38,5,39,49,3,57,74,10,81,49,0,49,25,0,25,18,4,23,26,0,26,78,7,82,17,14,31,684,210,896
POA4345,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,14,17
POA4346,3,0,3,3,3,4,0,0,0,0,9,10,8,9,17,14,4,20,14,11,21,16,11,28,30,12,40,26,7,30,20,4,26,8,0,8,33,3,33,19,0,20,14,0,14,3,0,4,11,0,11,24,4,32,0,3,0,239,77,319
POA4347,4,0,4,0,0,4,0,3,6,0,10,10,19,21,44,12,20,29,30,7,34,19,10,28,35,10,45,32,9,39,23,8,31,25,0,22,35,5,42,15,0,15,9,0,9,10,0,5,8,0,8,29,0,29,10,7,13,311,109,412
POA4350,167,241,407,111,133,242,173,561,738,184,1018,1206,680,2532,3215,844,1422,2264,2335,1162,3493,1936,1270,3204,2443,1240,3683,2377,736,3118,1870,631,2505,1839,431,2269,3416,563,3980,2156,99,2250,1271,58,1325,773,209,978,1457,45,1499,2253,297,2551,345,652,995,26636,13296,39931
POA4352,52,39,84,46,22,63,40,64,104,26,79,104,142,215,352,144,126,266,513,102,616,410,154,562,543,150,690,585,104,694,524,71,592,583,47,625,1155,68,1225,832,12,851,533,9,541,290,20,312,462,4,467,840,37,874,83,54,140,7806,1374,9173
POA4353,0,3,3,3,0,4,0,3,5,0,3,3,0,5,10,0,4,5,9,0,12,3,4,11,0,3,8,6,0,8,8,0,8,4,0,3,3,0,3,4,0,4,4,0,4,3,0,3,3,0,3,18,0,18,0,0,0,80,27,108
POA4354,3,5,7,5,0,7,3,9,12,7,9,13,17,26,40,15,7,21,36,9,45,24,7,32,30,14,42,37,10,44,19,0,20,15,3,20,32,4,30,20,0,24,11,0,11,12,0,12,4,0,4,44,0,44,3,8,10,321,112,431
POA4355,4,9,17,4,10,12,10,18,23,7,42,51,41,94,131,52,37,89,101,24,123,65,30,97,75,15,89,71,10,86,46,11,56,42,4,45,67,10,73,22,0,22,14,0,14,11,0,9,5,0,5,74,5,76,13,11,26,718,332,1052
