POA_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
POA4104,257,1064,815,232,118,2482,77,2559
POA4105,449,2046,1834,490,193,5016,152,5166
POA4106,44,216,190,59,25,534,24,561
POA4107,156,777,835,235,112,2111,69,2180
POA4108,186,812,657,205,99,1962,96,2054
POA4109,725,3715,4262,1581,826,11109,633,11745
POA4110,223,1201,1302,472,205,3402,129,3525
POA4111,10,127,117,33,4,298,4,303
POA4112,51,606,1130,363,155,2308,55,2356
POA4113,421,3336,3810,1225,539,9335,256,9590
POA4114,1165,3660,2457,899,420,8602,517,9121
POA4115,189,1639,2758,966,419,5964,117,6086
POA4116,173,2195,3602,1169,537,7670,155,7830
POA4117,3,92,204,60,31,386,8,396
POA4118,301,2607,3988,1555,876,9321,223,9547
POA4119,59,576,917,304,136,1989,32,2024
POA4120,420,1618,1165,270,117,3587,113,3697
POA4121,521,2975,3657,997,410,8561,230,8792
POA4122,1147,5478,5711,1737,790,14863,383,15247
POA4123,223,1812,2767,912,483,6194,115,6313
POA4124,115,1219,2268,1167,966,5742,144,5881
POA4125,85,632,658,452,464,2291,89,2384
POA4127,427,2993,3427,1231,615,8693,266,8956
POA4128,131,1278,2347,985,564,5301,110,5412
POA4129,35,461,916,354,197,1958,53,2011
POA4130,34,575,1080,543,438,2666,64,2733
